,movie_title,worldwide_box_office,international_box_office,domestic_box_office
10194,National Theatre Live: Twelfth Night-2017-03-31,1210769.0,1210769.0,
10195,Live Cargo-2017-03-31,,,
10196,El otro hermano-2017-03-31,126887.0,126887.0,
10197,Ling Xiu-2017-03-31,168359.0,168359.0,
10198,Naam Shabana-2017-03-31,77441.0,77441.0,
10199,Jia zai shui cao feng mao di di fang-2017-03-31,5295.0,5295.0,
10200,Here Alone-2017-03-31,,,
10201,Hipersomnia-2017-03-31,88742.0,88742.0,
10202,God Knows Where I Am-2017-03-31,,,
10203,Free Fire-2017-04-21,3793739.0,1994417.0,1799322.0
10204,FÃƒÂ©licitÃƒÂ©-2017-10-27,263744.0,253049.0,10695.0
10205,Gangsterdam-2017-03-31,2671638.0,2671638.0,
10206,Kavan-2017-03-31,55333.0,55333.0,
10207,The Girl with the Dragon Tattoo-2011-12-20,239373970.0,136858177.0,102515793.0
10208,Vacanze di Natale a Cortina-2011-12-16,,,
10209,For Here or to Go-2017-03-31,,,
10210,Albert Nobbs-2011-12-21,8539003.0,5524307.0,3014696.0
10211,Friends Mononoke-jima no Naki-2011-12-17,20715574.0,20715574.0,
10212,Sherlock Holmes: A Game of Shadows-2011-12-16,535663443.0,348815025.0,186848418.0
10213,Guru-2017-03-31,11538.0,11538.0,
10214,Footprints-2011-12-16,,,
10215,Cook County-2011-12-16,17977.0,,17977.0
10216,Corman's World: Exploits of a Hollywood Rebel-2011-12-16,3050.0,,3050.0
10217,Rubbeldiekatz-2011-12-15,19954186.0,19954186.0,
10218,Carnage-2011-12-16,38112154.0,35565407.0,2546747.0
10219,Nickyho rodina-2011-12-15,95262.0,95262.0,
10220,Addiction Incorporated-2011-12-14,40106.0,,40106.0
10221,Mission: ImpossibleÃ¢â‚¬â€Ghost Protocol-2011-12-16,694713230.0,485315327.0,209397903.0
10222,George Balanchine's The Nutcracker-2011-12-13,2119994.0,,2119994.0
10223,Alvin and the Chipmunks: Chipwrecked-2011-12-16,349088523.0,215981134.0,133107389.0
10224,The Sitter-2011-12-09,38749404.0,8206828.0,30542576.0
10225,Young Adult-2011-12-09,22750356.0,6438785.0,16311571.0
10226,New YearÃ¢â‚¬â„¢s Eve-2011-12-09,146850273.0,92305635.0,54544638.0
10227,Les Neiges du Kilimanjaro-2011-12-09,51975.0,,51975.0
10228,Ma part du gateau-2011-12-09,6850.0,,6850.0
10229,Tinker Tailor Soldier Spy-2011-12-09,81428388.0,57278995.0,24149393.0
10230,London River-2011-12-09,,,
10231,Ladies vs Ricky Bahl-2011-12-09,4513021.0,4513021.0,
10232,Stop the Pounding Heart-2014-09-19,2363.0,,2363.0
10233,Swim Little Fish Swim-2014-09-19,,,
10234,Space Station 76-2014-09-19,,,
10235,The Scribbler-2014-09-19,,,
10236,Reclaim-2014-09-19,,,
10237,LifeÃ¢â‚¬â„¢s a Breeze-2014-09-19,3450.0,,3450.0
10238,Not Cool-2014-09-19,35688.0,,35688.0
10239,Pump-2014-09-19,89787.0,,89787.0
10240,The Little Death-2014-06-26,1337808.0,1319570.0,18238.0
10241,Khoobsurat-2014-09-19,1138355.0,82762.0,1055593.0
10242,Keep On KeepinÃ¢â‚¬â„¢ On-2014-09-19,162530.0,,162530.0
10243,Hector and the Search for Happiness-2014-09-19,2918799.0,1794354.0,1124445.0
10244,Hollidaysburg-2014-09-19,3709.0,,3709.0
10245,Fort Bliss-2014-09-19,,,
10246,Detained in the Desert-2014-09-19,,,
10247,Exhibition on Screen: Matisse-2014-09-19,45623.0,45623.0,
10248,The Boxtrolls-2014-09-26,111898741.0,61061436.0,50837305.0
10249,Tom yum goong 2-2013-05-02,2087237.0,2084774.0,2463.0
10250,Don't Blink-2014-09-19,77056.0,77056.0,
10251,Supesu Batorushippu Yamato-2013-10-19,,,
10252,Jackass Presents: Bad Grandpa-2013-10-25,160903019.0,58900000.0,102003019.0
10253,Merrily We Roll Along-2013-10-23,,,
10254,Two Jacks-2013-10-18,,,
10255,Tusen ganger god natt-2013-10-24,1838256.0,1785231.0,53025.0
10256,Todas las Mujeres-2013-10-18,201870.0,201870.0,
10257,Torn-2013-10-18,16772.0,,16772.0
10258,Te shu shen fen-2013-03-07,25040000.0,25040000.0,
10259,The Stream-2013-10-18,,,
10260,Paradise-2013-10-18,,,
10261,Seasons of Gray-2013-10-18,70594.0,,70594.0
10262,Kill Your Darlings-2013-10-18,2084815.0,1054866.0,1029949.0
10263,Lost for Words-2013-10-18,,,
10264,Love Me-2013-10-18,131727.0,131727.0,
10265,I'm in Love with a Church Girl-2013-10-18,2503392.0,115662.0,2387730.0
10266,Haunter-2013-10-18,144420.0,144420.0,
10267,Enzo Avitabile Music Life-2013-10-18,,,
10268,The Fifth Estate-2013-10-18,6154172.0,2900000.0,3254172.0
10269,CaÃƒÂ­to-2013-10-18,5165.0,5165.0,
10270,Birth of the Living Dead-2013-10-18,9802.0,,9802.0
10271,Carrie-2013-10-18,82409520.0,47142901.0,35266619.0
10272,Mental-2012-03-29,4385959.0,4368290.0,17669.0
10273,Hellbenders-2013-10-18,,,
10274,Flight of the Butterflies-2012-10-01,437781.0,437781.0,
10275,Cross-2012-10-04,,,
10276,Frankenweenie-2012-10-05,81150788.0,45863000.0,35287788.0
10277,The Yakuza and the Mermaid-2012-09-28,,,
10278,Thaandavam-2012-09-28,3006802.0,2793326.0,213476.0
10279,Won't Back Down-2012-09-28,5745503.0,434949.0,5310554.0
10280,Solomon Kane-2012-09-28,22024849.0,22024849.0,
10281,Bel Borba Aqui-2012-10-03,7426.0,,7426.0
10282,Pinki Moge Wali-2012-09-28,,,
10283,Reality-2012-03-15,4460654.0,4376918.0,83736.0
10284,My Life as Abraham Lincoln-2012-09-28,,,
10285,Inch'Allah-2012-09-28,1163019.0,702635.0,460384.0
10286,Kamaal Dhamaal Malamaal-2012-09-28,,,
10287,OMG: Oh My God-2012-09-28,18602281.0,18602281.0,
10288,Fon tok kuen fah-2012-09-28,1373.0,,1373.0
10289,Pitch Perfect-2012-09-28,116044347.0,51043254.0,65001093.0
10290,The Hole 3D-2012-09-28,9716671.0,9716671.0,
10291,English Vinglish-2012-09-28,9886679.0,8024593.0,1862086.0
10292,Harvest of Empire-2012-09-28,79627.0,,79627.0
10293,Dust Up-2012-09-28,,,
10294,Bringing Up Bobby-2012-09-28,4975.0,,4975.0
10295,Blancanieves-2012-03-15,2495971.0,2259577.0,236394.0
10296,RelÃƒÂ¡mpago en la Oscuridad: Lightning in the Dark-2015-05-01,1584.0,1584.0,
10297,Private Number-2015-05-01,,,
10298,Flukt-2012-09-28,914033.0,914033.0,
10299,Prilichnye lyudi-2015-05-01,1525367.0,1525367.0,
10300,Dai juk hei kek-2012-09-28,33700.0,,33700.0
10301,Preggoland-2015-05-01,25294.0,,25294.0
10302,Pressure-2015-06-12,210099.0,210099.0,
10303,Posthumous-2015-05-01,18091.0,18091.0,
10304,Northmen Ã¢â‚¬â€ A Viking Saga-2015-07-31,4732232.0,4732232.0,
10305,The Next Generation Patlabor: Tokyo War-2015-05-01,1179682.0,1179682.0,
10306,Muumit Rivieralla-2015-05-01,175462.0,175462.0,
10307,El hijo bastardo de Dios-2015-05-01,1502.0,1502.0,
10308,Gerontophilia-2015-05-01,9074.0,4158.0,4916.0
10309,Pos eso-2015-05-01,9736.0,9736.0,
10310,Nos femmes-2015-05-01,2845301.0,2845301.0,
10311,Ezan-2015-05-01,133752.0,133752.0,
10312,Far from the Madding Crowd-2015-05-01,29729450.0,17492950.0,12236500.0
10313,Gabbar is Back-2015-05-01,785594.0,509165.0,276429.0
10314,De Ontsnapping-2015-05-01,2519556.0,2519556.0,
10315,Entre Abelhas-2015-05-01,1712607.0,1712607.0,
10316,De Boskampi's-2015-05-01,1276194.0,1276194.0,
10317,Enemies In-Law-2015-05-01,3181670.0,3181670.0,
10318,Code Geass: Boukoku no Akito 3 - Kagayakumono Ten Yori Otsu-2015-05-01,834927.0,834927.0,
10319,"Connasse, princesse des coeurs-2015-05-01",8257617.0,8257617.0,
10320,Cha-i-na-ta-un-2015-05-01,10582907.0,10582907.0,
10321,Che strano chiamarsi Federico-2015-05-01,13708.0,13708.0,
10322,Birigyaru-2015-05-01,28532888.0,28532888.0,
10323,ÃÅ“Ãï¿½ÃÂ ÃÂ¨ÃÂ ÃÂ£ÃÂ¢ ÃÅ¸ÃÅ¾ÃÂ¡ÃÂ¢ÃÂ ÃÅ¾Ãâ€¢Ãï¿½-2016-03-31,796804.0,796804.0,
10324,Ayashii kanojo-2016-04-01,2755954.0,2755954.0,
10325,Sorgenfri-2016-05-13,107818.0,107818.0,
10326,Altamira-2016-09-16,1339604.0,1339604.0,
10327,Geroy-2016-03-31,1545121.0,1545121.0,
10328,Compadres-2016-04-22,7445044.0,4317271.0,3127773.0
10329,Teorie tygra-2016-03-31,1835407.0,1835407.0,
10330,Pat a Mat ve filmu-2016-03-31,482781.0,482781.0,
10331,AGÃƒï¿½VA-2016-03-31,54294.0,54294.0,
10332,Quand on a 17 ans-2016-10-07,2032093.0,1979380.0,52713.0
10333,I DonÃ¢â‚¬â„¢t Belong Anywhere: The Cinema of Chantel Akerman-2016-03-30,4069.0,,4069.0
10334,Chongqing Hot Pot-2016-04-01,58380950.0,57604301.0,776649.0
10335,Daebaewoo-2016-03-30,1125288.0,1125288.0,
10336,Everybody Wants Some-2016-03-30,5437126.0,2036848.0,3400278.0
10337,Un Bacio-2016-03-30,502615.0,502615.0,
10338,Uroki vyzhivaniya-2016-03-25,42992.0,42992.0,
10339,Easy Life-2016-03-25,198053.0,198053.0,
10340,TheyÃ¢â‚¬â„¢re Watching-2016-03-25,,,
10341,On Air: Storia di un Successo-2016-03-30,421624.0,421624.0,
10342,Sol Serit-2016-03-25,30309.0,30309.0,
10343,Speed Sisters-2016-01-27,25368.0,21945.0,3423.0
10344,Seve: The Movie-2016-03-25,,,
10345,Tayna snezhnoy korolevy-2016-03-25,18782.0,18782.0,
10346,Rosalie Blum-2016-03-25,4251230.0,4251230.0,
10347,Snow-2016-03-25,8756.0,8756.0,
10348,Una festa esagerata-2018-03-22,2475665.0,2475665.0,
10349,"Paul, Apostle of Christ-2018-03-23",26078500.0,8530501.0,17547999.0
10350,Miniteukgongdae X-2018-03-22,690922.0,690922.0,
10351,Mult v Kino: Vypusk No. 71-2018-03-17,100701.0,100701.0,
10352,Ready Player One-2018-03-29,579055653.0,441365481.0,137690172.0
10353,Bachelor Lions-2018-03-21,,,
10354,Tut YÃƒÂ¼regimden Anne-2018-03-16,19210.0,19210.0,
10355,Us and Them-2018-03-16,49.0,49.0,
10356,Yesterday went with Yesterday-2018-03-16,,,
10357,La Tribu-2018-03-16,7215967.0,7215967.0,
10358,Midnight Sun-2018-03-23,26952508.0,17391444.0,9561064.0
10359,Setembro a Vida Inteira-2018-03-16,2672.0,2672.0,
10360,Selfie from Hell-2018-03-16,136300.0,136300.0,
10361,Teatro Communale: La Boheme-2018-03-16,4337.0,4337.0,
10362,Los Territorios-2018-03-16,869.0,869.0,
10363,Todo Mal-2018-03-16,1324682.0,1324682.0,
10364,Tout le Monde Debout-2018-03-16,22078709.0,22078709.0,
10365,Ramen Heads-2018-03-16,57346.0,,57346.0
10366,Razzia-2018-03-16,1155758.0,1155758.0,
10367,Raid-2018-03-16,20588391.0,19578006.0,1010385.0
10368,Que le Diable Nous Emporte-2018-03-16,1870.0,1870.0,
10369,Raja Abroadiya-2018-03-16,949.0,949.0,
10370,Purikyua SÃ…Â«pÃ„ï¿½ SutÃ„ï¿½zu!-2018-03-16,7017326.0,7017326.0,
10371,Fair Haven-2017-03-31,,,
10372,Extraordinary Mission-2017-03-31,22682660.0,22682660.0,
10373,Extramuros-2017-03-31,674.0,674.0,
10374,Era of Dance-2017-03-31,18205.0,18205.0,
10375,Pitbull. Ostatni Pies-2018-03-16,6282750.0,6282750.0,
10376,Dora-2017-03-31,6895.0,6895.0,
10377,CantÃƒÂ¡brico-2017-03-31,762247.0,762247.0,
10378,Carrie Pilby-2017-03-31,26889.0,7932.0,18957.0
10379,Psycho Vertical-2018-03-16,11501.0,11501.0,
10380,Calabria-2017-03-31,816.0,816.0,
10381,The BlackcoatÃ¢â‚¬â„¢s Daughter-2017-03-31,143545.0,123110.0,20435.0
10382,3 Idiotas-2017-06-02,7738470.0,6489237.0,1249233.0
10383,AÃ…Å¸k Uykusu-2017-03-31,91460.0,91460.0,
10384,"La veritÃƒÂ , vi spiego, sull'amore-2017-03-30",448217.0,448217.0,
10385,Dnevnik masinovodje-2017-03-31,7554.0,7554.0,
10386,The Missing-2017-03-30,13887720.0,13887720.0,
10387,The Wedding Invitation-2017-03-30,,,
10388,Biz Size DÃƒÂ¶neriz-2017-03-31,273291.0,273291.0,
10389,Il permesso - 48 ore fuori-2017-03-30,883142.0,883142.0,
10390,El Hombre que Cuida-2017-03-30,,,
10391,Classe Z-2017-03-30,913683.0,913683.0,
10392,Churchill-2017-06-02,7582196.0,6302515.0,1279681.0
10393,Karl Marx City-2017-03-29,,,
10394,Wonlain-2017-02-06,2954086.0,2954086.0,
10395,Wilson-2017-03-24,710383.0,56432.0,653951.0
10396,I Melt with You-2011-12-09,6361.0,,6361.0
10397,Knuckle-2011-12-09,2647.0,,2647.0
10398,Catch .44-2011-12-09,,,
10399,The ZookeeperÃ¢â‚¬â„¢s Wife-2017-03-31,26308749.0,8863563.0,17445186.0
10400,Happy People: A Year in the Taiga-2011-12-09,338987.0,,338987.0
10401,"Rejoice, Give Thanks, and Sing - 100th St. Olaf Christmas Festival Live-2011-12-04",,,
10402,A Warrior's Heart-2011-12-02,,,
10403,Shame-2011-12-02,20412841.0,16410548.0,4002293.0
10404,Chicago The Band Presents an Evening of Holiday Music and Greatest Hits-2011-12-06,,,
10405,Sleeping Beauty-2011-12-02,37710.0,,37710.0
10406,Pastorela-2011-12-02,2461744.0,2300550.0,161194.0
10407,I Am Singh-2011-12-02,,,
10408,Autoreiji-2011-12-02,46139.0,1394.0,44745.0
10409,Lads & Jockeys-2011-12-02,,,
10410,Esmeralda-2011-11-30,,,
10411,Khodorkovsky-2011-11-30,39522.0,,39522.0
10412,Answers to Nothing-2011-12-02,22049.0,,22049.0
10413,Eiga Kaibutsu-kun-2011-11-26,24266083.0,24266083.0,
10414,Force of Nature: The David Suzuki Movie-2011-12-02,,,
10415,Resistance-2011-11-25,,,
10416,Les Ãƒâ€°motifs anonymes-2011-11-25,14737098.0,14737098.0,
10417,Noruwei no mori-2011-11-25,31406.0,,31406.0
10418,Desi Boyz-2011-11-25,7812311.0,6746144.0,1066167.0
10419,When A City Falls-2011-11-24,17622.0,17622.0,
10420,Crazy Wisdom-2011-11-25,86583.0,,86583.0
10421,Bing Fung: Chung Sang Chi Mun-2014-09-19,7679.0,,7679.0
10422,Nan Ren Wu Ke Yi Qiong-2014-09-18,1930000.0,1930000.0,
10423,Art and Craft-2014-09-19,237091.0,,237091.0
10424,Autumn Blood-2014-09-19,,,
10425,The Guest-2014-09-17,2107051.0,1737140.0,369911.0
10426,Anime nere-2014-04-10,1297796.0,1197071.0,100725.0
10427,Mudbloods-2014-09-15,,,
10428,Swearnet: The Movie-2014-09-12,,,
10429,Take Me to the River-2014-09-12,68598.0,,68598.0
10430,L'apollonide - souvenirs de la maison close-2011-11-25,19327.0,,19327.0
10431,Smiling Through the Apocalypse-2014-09-12,4560.0,,4560.0
10432,Pirates-2014-09-12,62883705.0,62723572.0,160133.0
10433,The Quitter-2014-09-12,5588.0,,5588.0
10434,No Good Deed-2014-09-12,54323210.0,1779578.0,52543632.0
10435,Sagrada: el misteri de la creacio-2014-09-12,58755.0,,58755.0
10436,El misterio de la felicidad-2014-09-12,3894.0,,3894.0
10437,I Am Eleven-2014-09-12,300968.0,,300968.0
10438,The Man on Her Mind-2014-09-12,,,
10439,The Green Prince-2014-09-12,480408.0,222171.0,258237.0
10440,Finding Fanny-2014-09-12,7723229.0,7100000.0,623229.0
10441,The Skeleton Twins-2014-09-12,5797192.0,512883.0,5284309.0
10442,Faith Connections-2014-09-12,9111.0,,9111.0
10443,The Drop-2014-09-12,19054534.0,8330145.0,10724389.0
10444,Dolphin Tale 2-2014-09-12,57824533.0,15800000.0,42024533.0
10445,Big Ass Spider-2013-10-18,,,
10446,Atlas Shrugged: Who Is John Galt?-2014-09-12,851690.0,,851690.0
10447,Adventures in the Sin Bin-2013-10-18,,,
10448,Honeymoon-2014-09-12,9318.0,,9318.0
10449,All is Lost-2013-10-18,10386814.0,4123144.0,6263670.0
10450,American Promise-2013-10-18,146702.0,,146702.0
10451,12 Years a Slave-2013-10-18,180765061.0,124093068.0,56671993.0
10452,9 mois ferme-2013-04-04,17787755.0,17633270.0,154485.0
10453,Don Quixote-2013-10-16,,,
10454,Le Week-End-2013-03-14,10600030.0,8374932.0,2225098.0
10455,Zero Charisma-2013-10-11,9417.0,,9417.0
10456,Camille Claudel: 1915-2013-10-16,35296.0,,35296.0
10457,Unlimited-2013-10-11,,,
10458,La Vie d'AdÃƒÂ¨le Ã¢â‚¬â€œ Chapitres 1 & 2-2013-10-11,22895151.0,20444647.0,2450504.0
10459,Les Salauds-2013-10-11,104026.0,69008.0,35018.0
10460,Romeo & Juliet-2013-10-11,1226031.0,63396.0,1162635.0
10461,Sweetwater-2013-10-11,6147.0,,6147.0
10462,Khumba-2013-12-06,20898221.0,20898221.0,
10463,I Will Follow You Into the Dark-2013-10-11,,,
10464,God Loves Uganda-2013-10-11,51229.0,,51229.0
10465,Ggang Chul Yi-2013-10-11,,,
10466,The Inevitable Defeat of Mister and Pete-2013-10-11,506303.0,11695.0,494608.0
10467,Ghost Team One-2013-10-11,9195.0,,9195.0
10468,Machete Kills-2013-10-11,18273009.0,10264848.0,8008161.0
10469,I Am Divine-2013-10-11,34242.0,34242.0,
10470,Escape from Tomorrow-2013-10-11,171962.0,,171962.0
10471,Design is One-2013-10-11,16386.0,,16386.0
10472,The Barrens-2012-09-28,,,
10473,BearCity 2-2012-09-28,,,
10474,Tong que tai-2012-09-27,8264881.0,8264881.0,
10475,Taken 2-2012-10-05,377807404.0,237953117.0,139854287.0
10476,CBGB-2013-10-11,,,
10477,Hotel Transylvania-2012-09-28,378223189.0,229910141.0,148313048.0
10478,Unelectable 2012-2012-09-25,,,
10479,Brawl-2012-09-27,,,
10480,Interview with a Hitman-2012-09-27,61596.0,61596.0,
10481,Looper-2012-09-28,170466405.0,103980200.0,66486205.0
10482,Barricade-2012-09-25,,,
10483,Trouble with the Curve-2012-09-21,47818913.0,12055776.0,35763137.0
10484,You May Not Kiss the Bride-2012-09-21,,,
10485,The Waiting Room-2012-09-21,244092.0,,244092.0
10486,My Uncle Rafael-2012-09-21,234830.0,,234830.0
10487,The Other Dream Team-2012-09-28,314444.0,180335.0,134109.0
10488,Occupy Unmasked-2012-09-21,52768.0,,52768.0
10489,Husbands in Goa-2012-09-21,836670.0,826535.0,10135.0
10490,Unconditional-2012-09-21,781133.0,39752.0,741381.0
10491,Killing Them Softly-2012-11-30,39238443.0,24292902.0,14945541.0
10492,In the Name of Love-2012-09-21,2357703.0,2357703.0,
10493,How to Survive a Plague-2012-09-21,133389.0,9575.0,123814.0
10494,House at the End of the Street-2012-09-21,44103982.0,12492066.0,31611916.0
10495,Heroine-2012-09-21,15835948.0,15237280.0,598668.0
10496,Hellbound?-2012-09-21,22887.0,,22887.0
10497,5 yue yi hao-2015-05-01,710612.0,710612.0,
10498,One Eyed Girl-2015-04-30,6273.0,6273.0,
10499,Chuang ru zhe-2015-04-30,1371577.0,1371577.0,
10500,Globe on Screen: Titus Andronicus-2015-04-30,3864.0,3864.0,
10501,Iris-2015-04-29,2493802.0,1183124.0,1310678.0
10502,Ai wo jiu pei wo kan dian ying-2015-04-29,1240000.0,1240000.0,
10503,National Theatre Live: Behind the Beautiful Forevers-2015-04-25,54764.0,54764.0,
10504,He Yi Sheng Xiao Mo-2015-04-26,67458479.0,67458479.0,
10505,Yi ge ren de wu lin-2015-04-24,129115.0,,129115.0
10506,"Sexo fÃƒÂ¡cil, pelÃƒÂ­culas tristes-2015-04-24",135835.0,135835.0,
10507,SelecciÃƒÂ³n canina-2015-04-24,97268.0,97268.0,
10508,Soul Boys of the Western World-2015-04-29,37104.0,37104.0,
10509,See You in Valhalla-2015-04-24,,,
10510,Sashimi-2015-04-24,44434.0,44434.0,
10511,Pas son genre-2015-04-24,666032.0,666032.0,
10512,Road to Juarez-2015-04-24,,,
10513,Parce que j'ÃƒÂ©tais peintre-2015-04-24,,,
10514,Para Elisa-2015-04-24,120276.0,120276.0,
10515,Ãƒâ€hi no yakata-2015-04-24,2527939.0,2527939.0,
10516,Lou! Journal infime-2015-04-24,88.0,,88.0
10517,Little Boy-2015-04-24,17769299.0,11283338.0,6485961.0
10518,Ãƒâ€“grenci Isleri-2015-04-24,278304.0,278304.0,
10519,Limonata-2015-04-24,328039.0,328039.0,
